"dataset","name_s","name","size","color","labels"
"1","NSA","NSA data center capacity",2000000000,"grey","2 eb"
"2","LHC","Large Hadron Collider",200000000,"grey","200 pb"
"3","GE","Google Earth Imagery",20000000,"grey","20 pb"
"4","EV","Event Horizon Astronomy",4000000,"grey","4 pb"
"5","SP","Spotify Catalogue",500000,"grey","500 tb"
"6","BL","British library data store",180000,"grey","180 tb"
"7","LoC","Digitised Library of Congress",10000,"grey","10 tb"
"8","SSS","Smart Street Sensor",2000,"Orange","2 tb"
"9","NYU","NY Uber trips 2009-15",250,"grey","250 gb"
"10","OSM","Openstreemap data",75,"grey","75 gb"
"11","HG","Human Genome",3,"grey","3 gb"
