"date","normal","random"
"2016-01",1520,316
"2016-02",1729,412
"2016-03",1759,399
"2016-04",1985,373
"2016-05",1967,395
"2016-06",4170,749
"2016-07",7294,1440
"2016-08",8647,1790
"2016-09",9546,1961
"2016-10",11742,2465
"2016-11",13246,2690
"2016-12",14428,3308
"2017-01",12761,2719
"2017-02",12273,2781
"2017-03",14660,3483
"2017-04",15049,3690
"2017-05",16168,4055
"2017-06",15088,4219
"2017-07",15278,4645
"2017-08",15075,5055
"2017-09",14824,5413
"2017-10",14352,6346
"2017-11",16823,7693
"2017-12",18590,8718
"2018-01",16727,7567
"2018-02",16051,7880
"2018-03",16831,8668
"2018-04",14886,8499
"2018-05",13684,8451
"2018-06",13035,8929
"2018-07",13561,10015
"2018-08",10960,8351
"2018-09",11734,9508
"2018-10",13588,11579
"2018-11",12737,11388
"2018-12",13094,12753
